 Mesh
 Dimension:            3
 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            3 ; Ny =            3 ; Nz =            3
 Nodes: 
 Vector           21 ; X:    1.00000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector           22 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.166666672    
 Vector           23 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.500000000    
 Vector           24 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.833333373    
 Vector           25 ; X:    1.00000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           26 ; X:    0.00000000     ; Y:   0.333333343     ; Z:    0.00000000    
 Vector           27 ; X:    0.00000000     ; Y:   0.333333343     ; Z:   0.166666672    
 Vector           28 ; X:    0.00000000     ; Y:   0.333333343     ; Z:   0.500000000    
 Vector           29 ; X:    0.00000000     ; Y:   0.333333343     ; Z:   0.833333373    
 Vector           30 ; X:    0.00000000     ; Y:   0.333333343     ; Z:    1.00000000    
 Vector           31 ; X:   0.166666672     ; Y:   0.333333343     ; Z:    0.00000000    
 Vector           32 ; X:   0.166666672     ; Y:   0.333333343     ; Z:   0.166666672    
 Vector           33 ; X:   0.166666672     ; Y:   0.333333343     ; Z:   0.500000000    
 Vector           34 ; X:   0.166666672     ; Y:   0.333333343     ; Z:   0.833333373    
 Vector           35 ; X:   0.166666672     ; Y:   0.333333343     ; Z:    1.00000000    
 Vector           36 ; X:   0.500000000     ; Y:   0.333333343     ; Z:    0.00000000    
 Vector           37 ; X:   0.500000000     ; Y:   0.333333343     ; Z:   0.166666672    
 Vector           38 ; X:   0.500000000     ; Y:   0.333333343     ; Z:   0.500000000    
 Vector           39 ; X:   0.500000000     ; Y:   0.333333343     ; Z:   0.833333373    
 Vector           40 ; X:   0.500000000     ; Y:   0.333333343     ; Z:    1.00000000    
 Vector           41 ; X:   0.833333373     ; Y:   0.333333343     ; Z:    0.00000000    
 Vector           42 ; X:   0.833333373     ; Y:   0.333333343     ; Z:   0.166666672    
